MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BASENAME,NAME,LSADC,FUNCSTAT,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON,HU100,POP100,OBJECTID,tract_id,area_sqkm,perimeter_km,compactness,num_polygons,distance_to_downtown,centroid_lon,centroid_lat,total_pop,pct_owner_occupied,pct_renter_occupied,pct_vacant,median_income,pct_white,pct_black,pct_higher_edu,pct_in_labor_force,median_house_value,pop_density
G5020,20740338968179,09009120100,09,009,120100,1201,Census Tract 1201,CT,S,6215546,363897,U,+41.3173783,-073.0633985,+41.3142426,-073.0627973,2940,6721,8153,Census Tract 1201,6.578436565213446,12.211782725830398,0.5543377030204498,1,11.390209748114076,-73.06339841252644,41.317378299896816,5945.0,77.08,22.919999999999998,8.558888076079004,65000.0,93.06980656013457,3.3305298570227087,18.435660218671153,62.00040168708576,246300.0,903.7101659438297
G5020,20740338968196,09009120200,09,009,120200,1202,Census Tract 1202,CT,S,6878578,542471,U,+41.3345971,-073.1009498,+41.3398459,-073.1037435,2909,6181,8154,Census Tract 1202,7.419722122186326,12.804935884325861,0.5686469161302925,1,14.77914582018393,-73.10094975866258,41.33459705231382,6881.0,39.894907033144705,60.1050929668553,13.887922032718414,45734.0,76.82022961778812,10.216538293852638,8.458072954512426,55.916030534351144,237000.0,927.3932212939015
G5020,20740338967838,09009125100,09,009,125100,1251,Census Tract 1251,CT,S,4155903,17738,U,+41.3325439,-073.0570249,+41.3321997,-073.0572487,1757,4503,20077,Census Tract 1251,4.173016879402767,9.425529950850384,0.5902669265910395,1,11.14082235162413,-73.05702486717489,41.332543940210726,4679.0,94.93223335297584,5.06776664702416,1.2798138452588714,72243.0,91.94272280401795,1.92348792477025,15.387903398162,62.745098039215684,268400.0,1121.2511559909262
G5020,20740338967856,09009125200,09,009,125200,1252,Census Tract 1252,CT,S,6249932,111626,U,+41.3469557,-073.0620406,+41.3494596,-073.0556618,2605,5812,20078,Census Tract 1252,6.360581798060312,14.376446485047628,0.38672620555660225,1,12.02186755258748,-73.06204052103863,41.34695573649477,6019.0,51.01114321089558,48.98885678910442,6.735950731331794,57002.0,77.47134075427812,15.152018607742148,14.769895331450408,72.18556701030928,300000.0,946.2970827347148
G5020,20740338967873,09009125300,09,009,125300,1253,Census Tract 1253,CT,S,3245123,111625,U,+41.3461324,-073.0899222,+41.3477359,-073.0901204,2293,5540,20079,Census Tract 1253,3.356175600646757,8.601096807397223,0.5700945223889288,1,14.199156515970373,-73.08992215013572,41.34613240063139,5576.0,48.81925522252498,51.18074477747502,9.345409633594072,49291.0,76.70373027259684,12.966284074605452,11.33428981348637,66.46631605309291,262800.0,1661.4148553268394
G5020,20740338967893,09009125400,09,009,125400,1254,Census Tract 1254,CT,S,1937650,194211,U,+41.3561257,-073.0797275,+41.3560355,-073.0801902,1493,3394,6502,Census Tract 1254,2.1315040624926396,6.789972047214806,0.580978493313891,1,13.774143914440325,-73.07972752920125,41.35612573592047,2889.0,52.92307692307693,47.07692307692308,8.771929824561402,43158.0,74.62789892696435,15.334025614399446,12.668743509865005,62.614107883817425,236700.0,1355.3809494604125
G5020,207403716549305,09009130101,09,009,130101,1301.01,Census Tract 1301.01,CT,S,8659235,95714,M,+41.4031657,-073.0578094,+41.4024880,-073.0565774,2169,4911,9638,Census Tract 1301.01,8.753624540827932,15.41913009653082,0.4626771305690178,1,15.13796652979758,-73.05780934516432,41.40316572716934,4835.0,67.12940009915717,32.870599900842834,4.543303360151444,58102.0,86.63908996897621,2.688728024819028,14.353671147880043,70.06578947368422,277100.0,552.3426298956498
G5020,207403716549294,09009130102,09,009,130102,1301.02,Census Tract 1301.02,CT,S,7419600,419365,U,+41.3724869,-073.0663349,+41.3690899,-073.0695759,1320,3113,8912,Census Tract 1301.02,7.8377438128102535,14.605241745403006,0.4617250407612006,1,13.603619797445612,-73.0663348720196,41.37248690568607,3173.0,63.76811594202898,36.231884057971016,9.769230769230768,73576.0,90.63977308540812,0.8824456350456981,15.505830444374407,59.863945578231295,266000.0,404.8358910141908
G5020,20740338970083,09009130200,09,009,130200,1302,Census Tract 1302,CT,S,21521844,675015,U,+41.3752342,-073.1062445,+41.3769876,-073.1071676,3479,8516,6507,Census Tract 1302,22.19280309492776,21.901009577327912,0.5814250698514379,1,16.674821840652072,-73.106244288034,41.37523435120654,8359.0,86.17086662569146,13.829133374308544,2.4872640095894516,84161.0,93.06137097738963,1.9380308649359972,19.72724010049049,72.07392197125256,331500.0,376.6536369581217
G5020,20740338969387,09009140100,09,009,140100,1401,Census Tract 1401,CT,S,704618,0,U,+41.3051344,-072.9248481,+41.3051344,-072.9248481,2268,2426,8859,Census Tract 1401,0.7045802701203507,4.160031872675004,0.5116194254924991,1,0.4346400653390937,-72.92484805557461,41.305134416553855,1858.0,3.3499643620812543,96.65003563791873,19.598853868194844,42292.0,53.12163616792249,25.45748116254037,47.52421959095802,62.29226361031519,227500.0,2637.030979710277
