NAME,B19013_001E,B25077_001E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B23001_001E,B01003_001E,B25002_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B02001_002E,B02001_003E,B23001_007E,B23001_014E,B23001_021E,B23001_028E,B23001_035E,B23001_042E,B23001_049E,B23001_056E,B23001_063E,B23001_070E,B23001_075E,B23001_080E,B23001_085E,B23001_093E,B23001_100E,B23001_107E,B23001_114E,B23001_121E,B23001_128E,B23001_135E,B23001_142E,B23001_149E,B23001_156E,B23001_161E,B23001_166E,B23001_171E,state,county,tract,B23025_002E
"Census Tract 1201, New Haven County, Connecticut",65000.0,246300.0,348.0,139.0,30.0,33.0,330.0,165.0,51.0,0.0,4979.0,5945.0,2734.0,2500.0,234.0,2500.0,1927.0,573.0,5533.0,198.0,103.0,0.0,102.0,105.0,100.0,360.0,375.0,176.0,49.0,34.0,88.0,29.0,18.0,48.0,107.0,123.0,81.0,127.0,338.0,372.0,117.0,47.0,107.0,19.0,30.0,32.0,09,009,120100,3087.0
"Census Tract 1202, New Haven County, Connecticut",45734.0,237000.0,189.0,70.0,17.0,26.0,136.0,116.0,12.0,16.0,5240.0,6881.0,2873.0,2474.0,399.0,2474.0,987.0,1487.0,5286.0,703.0,47.0,57.0,48.0,299.0,286.0,324.0,385.0,93.0,27.0,0.0,65.0,13.0,0.0,29.0,33.0,133.0,216.0,109.0,247.0,232.0,136.0,74.0,25.0,11.0,0.0,41.0,09,009,120200,2930.0
"Census Tract 1251, New Haven County, Connecticut",72243.0,268400.0,249.0,137.0,0.0,0.0,202.0,107.0,25.0,0.0,3876.0,4679.0,1719.0,1697.0,22.0,1697.0,1611.0,86.0,4302.0,90.0,71.0,11.0,166.0,157.0,65.0,331.0,272.0,150.0,37.0,41.0,33.0,25.0,18.0,27.0,22.0,76.0,74.0,81.0,261.0,256.0,180.0,10.0,17.0,22.0,18.0,11.0,09,009,125100,2432.0
"Census Tract 1252, New Haven County, Connecticut",57002.0,300000.0,277.0,145.0,58.0,0.0,240.0,156.0,13.0,0.0,4850.0,6019.0,2598.0,2423.0,175.0,2423.0,1236.0,1187.0,4663.0,912.0,140.0,46.0,189.0,222.0,211.0,488.0,428.0,85.0,73.0,61.0,0.0,17.0,11.0,130.0,53.0,80.0,262.0,114.0,396.0,335.0,72.0,0.0,20.0,68.0,0.0,0.0,09,009,125200,3501.0
"Census Tract 1253, New Haven County, Connecticut",49291.0,262800.0,244.0,74.0,0.0,0.0,182.0,112.0,20.0,0.0,3993.0,5576.0,2429.0,2202.0,227.0,2202.0,1075.0,1127.0,4277.0,723.0,51.0,13.0,48.0,160.0,252.0,349.0,259.0,148.0,19.0,35.0,8.0,0.0,0.0,68.0,46.0,38.0,160.0,118.0,303.0,355.0,143.0,10.0,29.0,25.0,17.0,0.0,09,009,125300,2654.0
"Census Tract 1254, New Haven County, Connecticut",43158.0,236700.0,133.0,58.0,14.0,10.0,109.0,33.0,9.0,0.0,2410.0,2889.0,1425.0,1300.0,125.0,1300.0,688.0,612.0,2156.0,443.0,16.0,68.0,10.0,99.0,54.0,187.0,220.0,60.0,45.0,26.0,0.0,30.0,0.0,44.0,0.0,20.0,105.0,67.0,118.0,195.0,92.0,0.0,24.0,29.0,0.0,0.0,09,009,125400,1509.0
"Census Tract 1301.01, New Haven County, Connecticut",58102.0,277100.0,213.0,86.0,0.0,0.0,307.0,88.0,0.0,0.0,3952.0,4835.0,2113.0,2017.0,96.0,2017.0,1354.0,663.0,4189.0,130.0,17.0,0.0,90.0,128.0,128.0,309.0,326.0,196.0,34.0,33.0,31.0,0.0,0.0,70.0,19.0,106.0,153.0,270.0,221.0,318.0,191.0,16.0,45.0,52.0,0.0,16.0,09,009,130101,2769.0
"Census Tract 1301.02, New Haven County, Connecticut",73576.0,266000.0,149.0,28.0,0.0,0.0,220.0,79.0,16.0,0.0,2499.0,3173.0,1300.0,1173.0,127.0,1173.0,748.0,425.0,2876.0,28.0,14.0,13.0,12.0,0.0,46.0,221.0,246.0,78.0,18.0,23.0,16.0,12.0,0.0,71.0,28.0,15.0,63.0,8.0,278.0,218.0,37.0,42.0,26.0,11.0,0.0,0.0,09,009,130102,1496.0
"Census Tract 1302, New Haven County, Connecticut",84161.0,331500.0,597.0,178.0,25.0,13.0,464.0,324.0,33.0,15.0,6818.0,8359.0,3337.0,3254.0,83.0,3254.0,2804.0,450.0,7779.0,162.0,105.0,106.0,76.0,155.0,219.0,631.0,735.0,332.0,45.0,37.0,36.0,30.0,28.0,50.0,222.0,131.0,156.0,227.0,564.0,720.0,187.0,43.0,22.0,57.0,0.0,0.0,09,009,130200,4914.0
"Census Tract 1401, New Haven County, Connecticut",42292.0,227500.0,163.0,172.0,69.0,76.0,118.0,212.0,29.0,44.0,1745.0,1858.0,1745.0,1403.0,342.0,1403.0,47.0,1356.0,987.0,473.0,0.0,22.0,27.0,122.0,219.0,102.0,18.0,0.0,24.0,0.0,23.0,0.0,0.0,0.0,12.0,62.0,176.0,118.0,88.0,22.0,13.0,11.0,28.0,0.0,0.0,0.0,09,009,140100,1087.0
