tract_id,median_income,median_house_value,pct_higher_edu,pct_favorable_occs
Census Tract 1201,78475.0,190400.0,22.727960078632993,
Census Tract 1202,38644.0,220600.0,16.72119855346995,
Census Tract 1251,84656.0,231200.0,24.60732984293194,
Census Tract 1252,43214.0,202900.0,14.328410689170182,
Census Tract 1253,52758.0,210200.0,16.09094884127678,
Census Tract 1254,39675.0,198200.0,14.507325481183567,
Census Tract 1301.01,61940.0,229500.0,18.161642315516925,
Census Tract 1301.02,78945.0,240900.0,19.591307168342524,
Census Tract 1302.01,127206.0,359700.0,31.89216683621567,
Census Tract 1302.02,87132.0,254200.0,16.85198912774895,
Census Tract 1401.01,99400.0,,58.35164835164836,
Census Tract 1401.02,78321.0,263500.0,63.53425683264695,
Census Tract 1402,15192.0,,22.37442922374429,
Census Tract 1403,41131.0,122800.0,3.2565528196981735,
Census Tract 1404,65568.0,230300.0,15.361714796070258,
Census Tract 1405,33911.0,180800.0,5.62340244248793,
Census Tract 1406,33412.0,171600.0,5.775075987841945,
Census Tract 1407,30999.0,93400.0,20.43991416309013,
Census Tract 1408,24098.0,167300.0,6.206380857427717,
Census Tract 1409,44750.0,254400.0,15.221899626710908,
Census Tract 1410,102679.0,337200.0,52.022977022977024,
Census Tract 1411,110833.0,248600.0,50.62424486508256,
Census Tract 1412,46477.0,181600.0,14.469517022961204,
Census Tract 1413.01,37857.0,183300.0,13.554675601583918,
Census Tract 1414,50680.0,224000.0,18.88313183649971,
Census Tract 1415,29066.0,165800.0,11.8670679052728,
Census Tract 1416,36165.0,173900.0,19.957173447537475,
Census Tract 1418,60667.0,832500.0,40.94265855777584,
Census Tract 1419,74091.0,584700.0,62.250686184812444,
Census Tract 1420,48984.0,473800.0,55.32121998702142,
Census Tract 1421,45764.0,321100.0,25.667752442996743,
Census Tract 1422,62727.0,312500.0,65.80958999305074,
Census Tract 1423,33350.0,184000.0,10.057678442682047,
Census Tract 1424,38333.0,184800.0,2.960807804210166,
Census Tract 1425,34065.0,232200.0,13.61936977034004,
Census Tract 1426.01,51114.0,170500.0,17.3828125,
Census Tract 1426.04,76531.0,175200.0,16.136752136752136,
Census Tract 1426.05,20905.0,184900.0,6.40826873385013,
Census Tract 1427,42535.0,162300.0,16.5435955694405,
Census Tract 1428,80781.0,218300.0,32.356720637368284,
Census Tract 1501,96469.0,336900.0,51.76216216216216,
Census Tract 1502,69419.0,287000.0,27.198421645997744,
Census Tract 1503,87902.0,270000.0,30.91002835782418,
Census Tract 1504,76703.0,283200.0,25.19588638589618,
Census Tract 1505,101549.0,327000.0,33.21591380024865,
Census Tract 1506,110338.0,335900.0,34.89018626633305,
Census Tract 1507,130580.0,370100.0,32.41256404544442,
Census Tract 1508,88015.0,279300.0,34.64991023339318,
Census Tract 1509,114250.0,368300.0,39.858675739335254,
Census Tract 1510,96558.0,335500.0,33.74277456647399,
Census Tract 1511,97857.0,336700.0,35.53330298892429,
Census Tract 1512,84167.0,269600.0,28.95434462444772,
Census Tract 1541.01,59472.0,171700.0,18.25918762088975,
Census Tract 1541.02,69521.0,183000.0,15.362578334825425,
Census Tract 1542,50980.0,188100.0,15.841584158415841,
Census Tract 1545,41813.0,151400.0,15.420780441937001,
Census Tract 1546,55260.0,192800.0,12.174427782162589,
Census Tract 1547,104375.0,256900.0,28.47437601535962,
Census Tract 1548,91703.0,218300.0,21.032072368421055,
Census Tract 1549,69628.0,197100.0,17.763640812331783,
Census Tract 1550,64907.0,181500.0,13.809045226130653,
Census Tract 1551,41250.0,169900.0,16.917293233082706,
Census Tract 1571,86848.0,358900.0,35.91606133979015,
Census Tract 1572,139190.0,402500.0,39.435173299101415,
Census Tract 1573,161944.0,430300.0,48.51063829787234,
Census Tract 1574,139444.0,378300.0,43.21219226260258,
Census Tract 1601,168804.0,491200.0,56.54689403166869,
Census Tract 1602,169732.0,458100.0,49.31756141947225,
Census Tract 1611,151034.0,408900.0,36.23452294246176,
Census Tract 1651,74929.0,201500.0,25.220156555772995,
Census Tract 1652,123889.0,380300.0,52.93132328308208,
Census Tract 1653,101740.0,260100.0,54.830799411476214,
Census Tract 1654,72296.0,212100.0,38.802846379238176,
Census Tract 1655,49604.0,168400.0,8.1104033970276,
Census Tract 1656,61150.0,183500.0,23.516908212560388,
Census Tract 1657,82436.0,173600.0,19.90531082750103,
Census Tract 1658.01,69055.0,193700.0,31.235347159603243,
Census Tract 1658.02,110435.0,244600.0,31.211498973305957,
Census Tract 1659,107207.0,294500.0,35.74564154019817,
Census Tract 1660.02,92109.0,238200.0,22.366412213740457,
Census Tract 1660.03,69286.0,141700.0,26.697209496043318,
Census Tract 1660.04,81119.0,235200.0,47.86437692646411,
Census Tract 1671.01,98750.0,361700.0,36.35388739946381,
Census Tract 1671.02,160213.0,321000.0,52.74895120335616,
Census Tract 1672.01,88611.0,266600.0,35.62053879806585,
Census Tract 1672.02,90917.0,267400.0,23.71487320082248,
Census Tract 1673.01,99840.0,303000.0,25.725396350583306,
Census Tract 1701,30806.0,266200.0,3.5338345864661656,
Census Tract 1702,48600.0,144500.0,5.9459459459459465,
Census Tract 1703,40329.0,195800.0,7.247081712062258,
Census Tract 1704,61452.0,147600.0,13.162034609334034,
Census Tract 1705,91513.0,221700.0,23.504721930745013,
Census Tract 1706,57981.0,172200.0,17.118512780790084,
Census Tract 1707,56944.0,165100.0,24.0,
Census Tract 1708,54556.0,152000.0,14.590747330960854,
Census Tract 1709,28460.0,133500.0,9.940273037542662,
Census Tract 1710,35013.0,189400.0,9.024833434282254,
Census Tract 1711,69669.0,159200.0,13.679819224752304,
Census Tract 1712.01,93314.0,224200.0,26.856023506366306,
Census Tract 1712.02,86067.0,179100.0,21.210250077184316,
Census Tract 1713,59734.0,166200.0,8.123174940270772,
Census Tract 1714,48596.0,146700.0,8.812260536398467,
Census Tract 1715,48829.0,152900.0,5.419634561783834,
Census Tract 1716,81471.0,162000.0,12.238325281803544,
Census Tract 1717,86484.0,183100.0,26.50469353948095,
Census Tract 1751,72886.0,246200.0,19.09547738693467,
Census Tract 1752,59632.0,258400.0,33.38295496836621,
Census Tract 1753,74323.0,252400.0,20.034079844206428,
Census Tract 1754,81163.0,221400.0,16.502415458937197,
Census Tract 1755.01,147871.0,385000.0,27.02387885847408,
Census Tract 1755.02,72143.0,237000.0,30.767827831479117,
Census Tract 1756,92192.0,257900.0,27.24358974358974,
Census Tract 1757,99583.0,302500.0,29.429429429429426,
Census Tract 1758,121971.0,372500.0,35.60107290904657,
Census Tract 1759,80756.0,253700.0,28.462311557788944,
Census Tract 1760,88250.0,350300.0,33.1811797752809,
Census Tract 1801.01,63074.0,247300.0,20.712277413308342,
Census Tract 1801.02,66944.0,210400.0,14.423669611670434,
Census Tract 1802,56641.0,223300.0,16.72379577845932,
Census Tract 1803,54671.0,221000.0,9.886887306242146,
Census Tract 1804,77965.0,225200.0,18.153846153846153,
Census Tract 1805,76277.0,205800.0,17.507678806494077,
Census Tract 1806.01,89042.0,219500.0,12.215822976659593,
Census Tract 1806.02,80139.0,226600.0,19.31225053730427,
Census Tract 1841.01,62330.0,243400.0,28.284263959390866,
Census Tract 1842,62998.0,189300.0,27.0473328324568,
Census Tract 1843,92339.0,325700.0,38.90860692102928,
Census Tract 1844,81477.0,410800.0,45.34313725490196,
Census Tract 1845,95521.0,381100.0,46.34433962264151,
Census Tract 1846,145577.0,476300.0,53.50180505415163,
Census Tract 1847,86597.0,281400.0,30.962837837837835,
Census Tract 1861,99643.0,290400.0,27.608323831242878,
Census Tract 1862,94076.0,320400.0,24.98948254101809,
Census Tract 1901,75761.0,369800.0,40.44404440444044,
Census Tract 1902,115042.0,504200.0,55.08913168487637,
Census Tract 1903.01,133488.0,412300.0,37.63962375073486,
Census Tract 1903.02,102079.0,356000.0,40.622089774632144,
Census Tract 1903.03,117353.0,409900.0,43.0503144654088,
Census Tract 1941.01,76897.0,386900.0,40.99502487562189,
Census Tract 1941.02,85688.0,641600.0,49.18769443484272,
Census Tract 1942.01,138646.0,396400.0,48.34612700628053,
Census Tract 1942.02,130202.0,406400.0,47.37368684342171,
Census Tract 3411,83841.0,251600.0,27.113985448666128,
Census Tract 3431.01,122824.0,354600.0,29.521792835715544,
Census Tract 3431.02,125179.0,381300.0,44.337631887456034,
Census Tract 3432,126393.0,294800.0,43.66503534529635,
Census Tract 3433,121853.0,361300.0,46.90061843808428,
Census Tract 3434,114457.0,297900.0,37.36961451247166,
Census Tract 3441,110417.0,317700.0,35.8706773071414,
Census Tract 3442,125179.0,433400.0,40.117891816920945,
Census Tract 3451,58638.0,189500.0,17.99666965543743,
Census Tract 3452.01,85488.0,179900.0,22.509815326450486,
Census Tract 3452.02,91071.0,182200.0,22.43880326382593,
Census Tract 3453,81518.0,178300.0,23.041245651813817,
Census Tract 3454,74987.0,210900.0,22.017139090309822,
Census Tract 3461.01,97210.0,365000.0,31.068240714080048,
Census Tract 3461.02,111361.0,360800.0,28.635996771589994,
Census Tract 3471,110938.0,295800.0,24.265946675666555,
Census Tract 3472,101250.0,273900.0,26.453488372093027,
Census Tract 3481.11,117262.0,351900.0,30.64703603254553,
Census Tract 3481.22,131250.0,387500.0,41.22851365015167,
Census Tract 3481.23,135951.0,362300.0,39.73791973791974,
Census Tract 3481.24,54352.0,168200.0,39.47041787339678,
Census Tract 3481.25,65938.0,223900.0,40.307017543859644,
Census Tract 3501.01,12066.0,,8.445040214477212,
Census Tract 3502,32180.0,,2.446280991735537,
Census Tract 3503,31597.0,79300.0,3.376477208778841,
Census Tract 3504,23387.0,114100.0,7.592093441150046,
Census Tract 3505,26985.0,88000.0,5.269922879177378,
Census Tract 3508,44512.0,151300.0,8.817598533455545,
Census Tract 3509,64875.0,144800.0,12.609295904279797,
Census Tract 3510,48322.0,130500.0,9.20314253647587,
Census Tract 3511,40425.0,123700.0,9.41932031040942,
Census Tract 3512,40556.0,112000.0,7.572016460905349,
Census Tract 3513,46245.0,108100.0,7.6060549430013085,
Census Tract 3514,38548.0,95500.0,6.363851431275136,
Census Tract 3515,61063.0,109900.0,7.381676074685194,
Census Tract 3516.01,49946.0,121800.0,12.687499999999998,
Census Tract 3516.02,70049.0,146800.0,20.654692931633836,
Census Tract 3517,33593.0,108600.0,4.2050337630448125,
Census Tract 3518,52675.0,137400.0,19.57822741521801,
Census Tract 3519,86575.0,166900.0,23.746798390047566,
Census Tract 3520,78681.0,175100.0,20.463906351615,
Census Tract 3521,53040.0,116000.0,9.77062196735774,
Census Tract 3522,39766.0,105700.0,6.554878048780488,
Census Tract 3523,52750.0,151000.0,6.6017316017316015,
Census Tract 3524,45211.0,154200.0,8.301791572041383,
Census Tract 3525,60077.0,146900.0,12.949640287769784,
Census Tract 3526,47967.0,135500.0,8.005176557589202,
Census Tract 3527.01,56227.0,113200.0,18.57279388340236,
Census Tract 3527.02,62612.0,127400.0,14.070154810895552,
Census Tract 3528,56827.0,140000.0,19.69015492253873,
Census Tract 3611,97868.0,284000.0,24.29210134128167,
Census Tract 3612,89179.0,212100.0,21.525364836692148,
Census Tract 3613,90878.0,255000.0,19.0832328106152,
Census Tract 3614.01,34369.0,107600.0,34.365661505025805,
Census Tract 3614.02,64712.0,,10.166489550123982,
Census Tract 3615,48047.0,149200.0,7.652792413066385,
Census Tract 9900,,,,
