NAME,B19013_001E,B25077_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_001E,B23025_002E,B01003_001E,B25002_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B02001_002E,B02001_003E,state,county,tract
"Census Tract 1201, New Haven County, Connecticut",78475.0,190400.0,1013.0,377.0,95.0,18.0,5973.0,3886.0,6613.0,3301.0,2887.0,414.0,2887.0,2334.0,553.0,5776.0,323.0,09,009,120100
"Census Tract 1202, New Haven County, Connecticut",38644.0,220600.0,541.0,217.0,81.0,132.0,4977.0,3228.0,5807.0,3234.0,2853.0,381.0,2853.0,1352.0,1501.0,4178.0,934.0,09,009,120200
"Census Tract 1251, New Haven County, Connecticut",84656.0,231200.0,672.0,477.0,57.0,16.0,4114.0,2690.0,4966.0,2025.0,1947.0,78.0,1947.0,1788.0,159.0,4314.0,58.0,09,009,125100
"Census Tract 1252, New Haven County, Connecticut",43214.0,202900.0,391.0,262.0,97.0,65.0,4755.0,2899.0,5688.0,3243.0,2644.0,599.0,2644.0,1255.0,1389.0,3724.0,1329.0,09,009,125200
"Census Tract 1253, New Haven County, Connecticut",52758.0,210200.0,471.0,218.0,38.0,9.0,3875.0,2542.0,4574.0,2470.0,2044.0,426.0,2044.0,1096.0,948.0,3366.0,459.0,09,009,125300
"Census Tract 1254, New Haven County, Connecticut",39675.0,198200.0,373.0,112.0,6.0,14.0,2879.0,1744.0,3481.0,1669.0,1556.0,113.0,1556.0,706.0,850.0,2148.0,753.0,09,009,125400
"Census Tract 1301.01, New Haven County, Connecticut",61940.0,229500.0,540.0,395.0,19.0,28.0,4580.0,2924.0,5407.0,2244.0,2190.0,54.0,2190.0,1229.0,961.0,5039.0,47.0,09,009,130101
"Census Tract 1301.02, New Haven County, Connecticut",78945.0,240900.0,412.0,175.0,6.0,11.0,2661.0,1864.0,3083.0,1362.0,1218.0,144.0,1218.0,916.0,302.0,2743.0,150.0,09,009,130102
"Census Tract 1302.01, New Haven County, Connecticut",127206.0,359700.0,518.0,642.0,62.0,32.0,3439.0,2480.0,3932.0,1310.0,1256.0,54.0,1256.0,1186.0,70.0,3592.0,41.0,09,009,130201
"Census Tract 1302.02, New Haven County, Connecticut",87132.0,254200.0,432.0,243.0,7.0,0.0,3238.0,2504.0,4047.0,1727.0,1633.0,94.0,1633.0,1248.0,385.0,3630.0,58.0,09,009,130202
"Census Tract 1401.01, New Haven County, Connecticut",99400.0,,105.0,106.0,195.0,125.0,910.0,611.0,910.0,709.0,594.0,115.0,594.0,0.0,594.0,680.0,73.0,09,009,140101
"Census Tract 1401.02, New Haven County, Connecticut",78321.0,263500.0,702.0,439.0,395.0,161.0,2256.0,1630.0,2671.0,1850.0,1590.0,260.0,1590.0,88.0,1502.0,1111.0,748.0,09,009,140102
"Census Tract 1402, New Haven County, Connecticut",15192.0,,59.0,39.0,0.0,0.0,404.0,73.0,438.0,502.0,354.0,148.0,354.0,11.0,343.0,246.0,176.0,09,009,140200
"Census Tract 1403, New Haven County, Connecticut",41131.0,122800.0,67.0,15.0,0.0,0.0,2033.0,1167.0,2518.0,788.0,601.0,187.0,601.0,150.0,451.0,1195.0,670.0,09,009,140300
"Census Tract 1404, New Haven County, Connecticut",65568.0,230300.0,138.0,183.0,75.0,120.0,2522.0,1773.0,3359.0,1406.0,1206.0,200.0,1206.0,537.0,669.0,1109.0,958.0,09,009,140400
"Census Tract 1405, New Haven County, Connecticut",33911.0,180800.0,143.0,55.0,0.0,0.0,2480.0,1647.0,3521.0,1274.0,1059.0,215.0,1059.0,414.0,645.0,1150.0,1092.0,09,009,140500
"Census Tract 1406, New Haven County, Connecticut",33412.0,171600.0,158.0,111.0,0.0,35.0,3708.0,2089.0,5264.0,1979.0,1714.0,265.0,1714.0,320.0,1394.0,1992.0,1959.0,09,009,140600
"Census Tract 1407, New Haven County, Connecticut",30999.0,93400.0,598.0,119.0,23.0,22.0,3019.0,1709.0,3728.0,2195.0,1849.0,346.0,1849.0,95.0,1754.0,1001.0,1689.0,09,009,140700
"Census Tract 1408, New Haven County, Connecticut",24098.0,167300.0,103.0,80.0,26.0,40.0,3044.0,1767.0,4012.0,1752.0,1523.0,229.0,1523.0,219.0,1304.0,761.0,2610.0,09,009,140800
"Census Tract 1409, New Haven County, Connecticut",44750.0,254400.0,567.0,95.0,61.0,11.0,3847.0,2552.0,4822.0,2112.0,1776.0,336.0,1776.0,348.0,1428.0,1770.0,2240.0,09,009,140900
